Site,X1,X2,X3,Species
246,1,0,0,bobcat
247,0,0,0,bobcat
248,0,0,0,bobcat
249,0,1,0,bobcat
250,0,0,0,bobcat
251,0,0,0,bobcat
252,0,0,0,bobcat
253,0,0,0,bobcat
254,0,0,0,bobcat
255,0,0,0,bobcat
256,0,0,0,bobcat
257,0,0,0,bobcat
258,0,0,0,bobcat
259,0,0,0,bobcat
260,0,0,0,bobcat
261,0,0,0,bobcat
262,0,0,0,bobcat
263,0,0,0,bobcat
264,0,0,0,bobcat
265,0,0,0,bobcat
266,0,0,0,bobcat
267,0,0,0,bobcat
268,0,0,0,bobcat
269,1,0,0,bobcat
270,0,0,0,bobcat
271,1,0,0,bobcat
272,0,0,0,bobcat
273,0,0,0,bobcat
274,0,0,0,bobcat
275,0,0,0,bobcat
276,0,0,0,bobcat
277,0,0,0,bobcat
278,0,0,0,bobcat
279,0,0,1,bobcat
280,0,0,0,bobcat
281,0,0,0,bobcat
282,0,0,0,bobcat
283,0,0,0,bobcat
284,0,0,0,bobcat
285,0,0,0,bobcat
286,0,0,0,bobcat
287,0,0,0,bobcat
288,0,0,0,bobcat
289,0,0,0,bobcat
290,1,0,1,bobcat
291,0,0,0,bobcat
292,0,0,0,bobcat
293,0,0,0,bobcat
294,0,0,0,bobcat
295,0,0,0,bobcat
296,0,0,0,bobcat
297,0,0,0,bobcat
298,0,0,0,bobcat
299,0,0,0,bobcat
300,0,0,0,bobcat
301,0,0,0,bobcat
302,0,0,0,bobcat
303,0,0,0,bobcat
304,0,0,0,bobcat
305,0,0,0,bobcat
306,1,1,0,bobcat
307,0,0,0,bobcat
308,0,1,0,bobcat
309,0,0,0,bobcat
310,0,0,0,bobcat
311,0,0,0,bobcat
312,0,0,0,bobcat
313,0,0,0,bobcat
314,0,0,0,bobcat
315,0,0,0,bobcat
316,0,0,0,bobcat
317,0,0,0,bobcat
318,0,1,1,bobcat
319,0,0,0,bobcat
320,0,0,0,bobcat
321,0,0,0,bobcat
322,0,0,0,bobcat
323,0,0,0,bobcat
324,0,0,0,bobcat
325,1,0,1,bobcat
326,0,0,0,bobcat
327,0,0,0,bobcat
328,0,0,0,bobcat
329,0,0,0,bobcat
330,0,0,0,bobcat
331,0,0,1,bobcat
332,0,0,0,bobcat
333,0,0,0,bobcat
334,0,0,1,bobcat
335,0,0,0,bobcat
336,0,0,0,bobcat
337,0,0,0,bobcat
338,0,0,0,bobcat
339,0,0,0,bobcat
340,0,0,0,bobcat
341,0,0,0,bobcat
342,0,1,0,bobcat
343,0,0,0,bobcat
344,0,0,0,bobcat
345,0,0,0,bobcat
346,0,0,0,bobcat
347,1,0,0,bobcat
348,0,1,0,bobcat
349,0,1,0,bobcat
350,0,0,0,bobcat
351,0,0,0,bobcat
352,0,0,0,bobcat
353,0,0,0,bobcat
354,0,0,0,bobcat
355,0,0,0,bobcat
356,0,0,1,bobcat
357,0,0,0,bobcat
358,0,0,0,bobcat
359,1,1,0,bobcat
360,0,0,0,bobcat
361,0,0,1,bobcat
362,0,0,0,bobcat
363,0,0,0,bobcat
364,0,0,0,bobcat
365,1,1,0,bobcat
366,0,0,0,bobcat
367,0,0,1,bobcat
368,0,0,0,bobcat
369,0,0,0,bobcat
370,0,0,0,bobcat
371,0,0,0,bobcat
372,0,0,0,bobcat
373,0,0,0,bobcat
374,0,0,0,bobcat
375,0,0,0,bobcat
376,0,0,0,bobcat
377,0,0,0,bobcat
378,0,0,0,bobcat
379,0,0,0,bobcat
380,0,0,0,bobcat
381,0,0,0,bobcat
382,0,0,0,bobcat
383,0,0,0,bobcat
384,0,0,0,bobcat
385,0,0,0,bobcat
386,0,0,0,bobcat
387,0,0,0,bobcat
388,0,0,1,bobcat
389,0,0,0,bobcat
390,0,0,0,bobcat
391,0,0,0,bobcat
392,0,0,0,bobcat
393,1,0,1,bobcat
394,0,0,1,bobcat
395,1,1,0,bobcat
396,0,1,0,bobcat
397,0,0,0,bobcat
398,1,1,0,bobcat
399,0,0,0,bobcat
400,1,0,0,bobcat
401,0,0,0,bobcat
402,0,0,1,bobcat
403,0,0,0,bobcat
404,0,0,0,bobcat
405,0,0,0,bobcat
406,0,0,0,bobcat
407,0,0,0,bobcat
408,0,0,0,bobcat
409,0,0,0,bobcat
410,0,0,0,bobcat
411,0,0,0,bobcat
412,0,0,0,bobcat
413,1,0,0,bobcat
414,0,0,0,bobcat
415,0,0,0,bobcat
416,0,0,0,bobcat
417,0,1,0,bobcat
418,0,0,0,bobcat
419,0,0,0,bobcat
420,0,0,0,bobcat
421,0,0,0,bobcat
422,0,0,0,bobcat
423,1,0,0,bobcat
424,0,0,0,bobcat
425,1,0,0,bobcat
426,0,0,0,bobcat
427,0,0,0,bobcat
428,0,0,0,bobcat
429,0,0,0,bobcat
430,0,0,0,bobcat
431,0,0,0,bobcat
432,0,0,0,bobcat
433,0,0,0,bobcat
434,0,0,0,bobcat
435,0,0,0,bobcat
436,0,0,0,bobcat
437,0,0,0,bobcat
438,0,0,0,bobcat
439,0,0,0,bobcat
440,0,0,0,bobcat
441,0,0,0,bobcat
442,0,0,0,bobcat
443,0,0,0,bobcat
444,0,0,0,bobcat
445,0,0,0,bobcat
446,0,0,0,bobcat
447,0,0,0,bobcat
448,0,0,0,bobcat
449,0,0,0,bobcat
450,0,0,0,bobcat
451,0,0,0,bobcat
452,0,0,0,bobcat
453,0,0,0,bobcat
454,0,0,0,bobcat
455,0,0,0,bobcat
456,0,0,0,bobcat
457,0,0,0,bobcat
458,0,0,0,bobcat
459,0,0,0,bobcat
460,0,0,0,bobcat
461,0,0,0,bobcat
462,0,0,0,bobcat
