X1,X2,X3,X4
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
