X1,X2,X3,X4
5,145,16,145
1,145,21,145
12,145,145,145
21,145,145,145
12,145,145,145
13,145,15,145
18,31,34,145
11,145,34,31
8,27,15,145
145,24,145,145
12,145,145,145
12,145,145,145
4,145,145,145
15,145,145,145
3,145,145,145
1,145,145,145
2,145,145,145
20,145,43,145
2,145,145,145
5,145,145,145
12,145,145,145
6,31,15,31
1,145,145,145
5,145,16,145
12,145,145,145
1,145,145,54
1,145,145,145
6,34,145,32
10,145,145,51
9,25,24,34
11,29,12,145
11,145,145,145
12,145,145,145
12,145,145,145
15,145,145,145
15,145,145,145
10,145,145,50
23,145,145,145
22,145,145,145
22,145,145,145
21,25,145,52
21,24,145,21
145,24,15,145
145,24,145,31
145,24,145,34
145,24,145,145
145,37,145,145
145,145,12,145
145,145,145,56
145,145,16,145
145,145,16,145
145,145,16,145
145,145,12,145
145,145,38,31
145,145,16,145
145,145,12,145
145,145,17,145
145,145,45,145
145,145,46,145
145,145,33,34
145,145,145,31
145,145,145,49
145,145,145,51
145,145,145,22
145,145,145,21
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
145,145,145,145
